position,u_max,u_min
0,3.24,-0.04
1,3.52,-0.04
2,3.48,-0.04
3,3.36,-0.04
4,3.12,-0.04
5,3.24,-0.04
6,3.32,-0.04
7,3.24,-0.04
8,3.2,-0.04
9,3.28,-0.04
10,3.28,-0.04
11,3.24,-0.04
12,3.24,-0.04
13,3.56,-0.04
14,3.64,-0.04
15,3.36,-0.04
16,4.04,-0.04
17,3.36,-0.04
18,3.28,-0.04
19,3.36,-0.04
20,3.52,-0.04
21,3.24,-0.04
22,3.32,-0.04
23,3.24,-0.04
24,3.28,-0.04
25,3.28,-0.04
26,3.28,-0.04
27,3.36,-0.04
28,3.2,-0.04
29,3.32,-0.04
30,3.24,-0.04
31,3.28,-0.04
32,3.28,-0.04
33,3.28,-0.04
